Number,Type,Name,Registration Point,Filename
1,text,score_txt,"(0, 0)",
2,text,level_txt,"(0, 0)",
3,text,timer_txt,"(0, 0)",
4,text,roundscore_txt,"(0, 0)",
5,text,lives_txt,"(0, 0)",
6,text,header_txt,"(0, 0)",
7,text,body_txt,"(0, 0)",
8,text,button_txt,"(0, 0)",
9,bitmap,prompt_overlay,"(240, 180)",
10,bitmap,sendscorebutton,"(140, 26)",
11,bitmap,star,"(51, 47)",
12,bitmap,sbg,"(57, 20)",
13,text,end_of_game_txt,"(0, 0)",
14,bitmap,endgame_bg,"(256, 256)",
15,bitmap,restartbutton,"(122, 29)",
16,bitmap,camera_bg1,"(240, 230)",
17,bitmap,camera_bg2,"(240, 230)",
18,bitmap,camera_bg3,"(240, 230)",